【领域汇总】
"领域","收敛前数量","收敛后数量","削减数量","削减率"
"资金","122","94","28","23.0%"
"投资","60","39","21","35.0%"
"费用","109","75","34","31.2%"
"财税","210","165","45","21.4%"
"系统","536","494","42","7.8%"
"机构","24","16","8","33.3%"
"合计","1061","883","178","16.8%"

【城市×领域收敛矩阵】
"城市","资金_收敛前","资金_收敛后","资金_削减","投资_收敛前","投资_收敛后","投资_削减","费用_收敛前","费用_收敛后","费用_削减","财税_收敛前","财税_收敛后","财税_削减","系统_收敛前","系统_收敛后","系统_削减","机构_收敛前","机构_收敛后","机构_削减","合计削减数","合计削减率"
"上海","47","38","9","6","6","0","16","14","2","80","65","15","213","196","17","8","7","1","44","11.9%"
"合肥","17","14","3","34","19","15","34","16","18","51","46","5","77","68","9","7","1","6","56","25.5%"
"深圳","34","22","12","6","5","1","13","12","1","37","28","9","139","131","8","5","4","1","32","13.7%"
"成都","14","13","1","12","11","1","21","19","2","38","30","8","75","71","4","2","2","0","16","9.9%"
"内江","10","10","0","0","0","0","22","13","9","3","4","-1","27","27","0","1","1","0","8","12.7%"

【智能体明细】
"智能体ID","智能体名称","分中心","城市归属","所属领域","一级服务线","二级服务线","场景","调用量","发布状态","收敛状态","所属方案ID","方案代表智能体","方案相似度","方案智能体数"
"agent_543","青海产险杂费付款审批注意事项","成都分公司","成都","资金","","","","30","已发布","未收敛","","","",""
"agent_571","产险机构集中资金差异点咨询智能体","成都分公司","成都","资金","","","","25","已发布","未收敛","","","",""
"agent_687","资金调拨智能体","成都分公司","成都","资金","","","","15","已发布","未收敛","","","",""
"agent_708","资金重难点知识库","成都分公司","成都","资金","","","","14","已发布","未收敛","","","",""
"agent_923","资金风险助手_default_导出节点_2025-09-23 14:23:46(1)","成都分公司","成都","资金","","","","6","已发布","未收敛","","","",""
"agent_1119","资金重难点知识库1","成都分公司","成都","资金","","","","2","未发布","未收敛","","","",""
"agent_1144","产险知识库异常场景咨询智能体","成都分公司","成都","资金","","","","1","已发布","未收敛","","","",""
"agent_1171","成都-结息凭证信息提取(1)","成都分公司","成都","资金","","","","1","未发布","未收敛","","","",""
"agent_28","人格-账户智能问答","深圳分公司","深圳","资金","账户办理","账户业务办理","资金管理类服务项目","9343","已发布","已收敛","proposal_7","账户办理-账户业务办理-统一智能体","13.2%","18"
"agent_45","人格-账户审批链","深圳分公司","深圳","资金","账户办理","账户业务办理","资金管理类服务项目","4714","已发布","已收敛","proposal_7","账户办理-账户业务办理-统一智能体","13.2%","18"
"agent_83","人格-账户签报模板","深圳分公司","深圳","资金","账户办理","账户业务办理","资金管理类服务项目","1838","已发布","已收敛","proposal_7","账户办理-账户业务办理-统一智能体","13.2%","18"
"agent_84","人格-宣导库集成应用","深圳分公司","深圳","资金","账户办理","账户业务办理","资金管理类服务项目","1834","已发布","已收敛","proposal_7","账户办理-账户业务办理-统一智能体","13.2%","18"
"agent_86","人格-定存组合信息匹配","深圳分公司","深圳","资金","账户办理","账户业务办理","资金管理类服务项目","1784","已发布","已收敛","proposal_7","账户办理-账户业务办理-统一智能体","13.2%","18"
"agent_90","人格-系统群权限申请及账户指令录入指引","深圳分公司","深圳","资金","账户办理","账户业务办理","资金管理类服务项目","1696","已发布","已收敛","proposal_7","账户办理-账户业务办理-统一智能体","13.2%","18"
"agent_91","人格-银企直联主账户信息匹配","深圳分公司","深圳","资金","账户办理","账户业务办理","资金管理类服务项目","1680","已发布","已收敛","proposal_7","账户办理-账户业务办理-统一智能体","13.2%","18"
"agent_92","人格-账户非标场景指导","深圳分公司","深圳","资金","账户办理","账户业务办理","资金管理类服务项目","1650","已发布","已收敛","proposal_7","账户办理-账户业务办理-统一智能体","13.2%","18"
"agent_94","人格-金服新人入职快速问答","深圳分公司","深圳","资金","账户办理","账户业务办理","资金管理类服务项目","1602","已发布","已收敛","proposal_7","账户办理-账户业务办理-统一智能体","13.2%","18"
"agent_97","人格-网银卡设置流程生成","深圳分公司","深圳","资金","账户办理","账户业务办理","资金管理类服务项目","1511","已发布","已收敛","proposal_7","账户办理-账户业务办理-统一智能体","13.2%","18"
"agent_118","人格-账户公司信息库","深圳分公司","深圳","资金","账户办理","账户业务办理","资金管理类服务项目","1088","已发布","已收敛","proposal_7","账户办理-账户业务办理-统一智能体","13.2%","18"
"agent_123","人格-资金账户银行联系人通讯簿","深圳分公司","深圳","资金","账户办理","账户业务办理","资金管理类服务项目","1025","已发布","已收敛","proposal_7","账户办理-账户业务办理-统一智能体","13.2%","18"
"agent_151","账户业务话术生成","深圳分公司","深圳","资金","账户办理","账户业务办理","资金管理类服务项目","750","未发布","已收敛","proposal_7","账户办理-账户业务办理-统一智能体","13.2%","18"
"agent_9","人格-账户智能问答","深圳分公司","深圳","资金","","","","44551","已发布","未收敛","","","",""
"agent_27","深分-资金管理问答助手","深圳分公司","深圳","资金","","","","9539","已发布","未收敛","","","",""
"agent_31","银企直联主账户信息匹配","深圳分公司","深圳","资金","","","","8101","未发布","未收敛","","","",""
"agent_59","人格-账户报备初审辅助","深圳分公司","深圳","资金","","","","3278","已发布","未收敛","","","",""
"agent_80","人格-账户业务话术生成","深圳分公司","深圳","资金","","","","1979","已发布","未收敛","","","",""
"agent_107","人格-关联信息助手","深圳分公司","深圳","资金","资金专项委托","资金专项委托","资金管理类服务项目","1285","已发布","未收敛","","","",""
"agent_318","账户办理-智能问答","深圳分公司","深圳","资金","","","","143","未发布","未收敛","","","",""
"agent_383","账户审批链","深圳分公司","深圳","资金","","","","80","已发布","未收敛","","","",""
"agent_595","银行对账单格式刷","深圳分公司","深圳","资金","","","","24","已发布","未收敛","","","",""
"agent_631","【资金业务知识问答】智能体","深圳分公司","深圳","资金","","","","19","已发布","未收敛","","","",""
"agent_707","资金账户一站式智能体","深圳分公司","深圳","资金","","","","14","未发布","未收敛","","","",""
"agent_713","人格-资金账户银行联系人通讯簿_导出节点_2025-06-06 10:42:45","深圳分公司","深圳","资金","","","","13","未发布","未收敛","","","",""
"agent_757","人格-银企直联主账户信息匹配_导出节点_2025-05-21 17:48:07","深圳分公司","深圳","资金","","","","11","未发布","未收敛","","","",""
"agent_794","财智分析辅助模型_导出节点_2025-05-12 17:45:58","深圳分公司","深圳","资金","","","","10","已发布","未收敛","","","",""
"agent_795","资金题宝","深圳分公司","深圳","资金","","","","10","已发布","未收敛","","","",""
"agent_802","人员及公司主体信息","深圳分公司","深圳","资金","","","","9","未发布","未收敛","","","",""
"agent_865","人格-账户报备初审辅助(1)","深圳分公司","深圳","资金","","","","7","已发布","未收敛","","","",""
"agent_887","银行对账单格式刷_导出节点_2025-03-17 14:59:35","深圳分公司","深圳","资金","","","","7","未发布","未收敛","","","",""
"agent_1021","人格-账户智能问答_default_导出节点_2025-10-31 16:55:48","深圳分公司","深圳","资金","","","","3","已发布","未收敛","","","",""
"agent_1123","银行信息辅助查询（升级版）","深圳分公司","深圳","资金","","","","2","未发布","未收敛","","","",""
"agent_1219","跨境汇款知识问答—多智能体版","深圳分公司","深圳","资金","","","","1","未发布","未收敛","","","",""
"agent_188","人格-资管直投操作问答体","","未归属","投资","投资估值核算（资管）","债权计划核算（资管）","投资管理类服务项目","537","已发布","未收敛","","","",""
"agent_1063","QY测试验证-队伍-估值线问答【咕咕】","","未归属","投资","","","","2","未发布","未收敛","","","",""
"agent_244","队伍-估值线问答【咕咕】","总部","上海","投资","","","","301","已发布","未收敛","","","",""
"agent_429","合同解析及业务要素提取助手_理财子","总部","上海","投资","","","","58","已发布","未收敛","","","",""
"agent_623","基金会计核算指引","总部","上海","投资","","","","20","已发布","未收敛","","","",""
"agent_657","理财子-季度报告","总部","上海","投资","","","","17","未发布","未收敛","","","",""
"agent_694","人格-合同要素提取_理财子","总部","上海","投资","","","","14","已发布","未收敛","","","",""
"agent_1115","调用蜂鸟记录工单-估值","总部","上海","投资","","","","2","已发布","未收敛","","","",""
"agent_1","人格-理财智慧答疑","合肥分公司","合肥","投资","投资估值核算（理财子）","产品估值核算（理财子）","投资管理类服务项目","416319","已发布","已收敛","proposal_1","投资估值核算（理财子）-产品估值核算（理财子）-统一智能体","15.2%","14"
"agent_17","人格-估值核算百事通","合肥分公司","合肥","投资","投资估值核算（信托）","产品估值T+N（信托）","投资管理类服务项目","19184","已发布","已收敛","proposal_5","投资估值核算（信托）-产品估值T+N（信托）-统一智能体","13.9%","6"
"agent_30","人格-产品披露时效","合肥分公司","合肥","投资","投资估值核算（理财子）","产品估值核算（理财子）","投资管理类服务项目","8930","已发布","已收敛","proposal_1","投资估值核算（理财子）-产品估值核算（理财子）-统一智能体","15.2%","14"
"agent_33","人格-理财子产品信息库","合肥分公司","合肥","投资","投资估值核算（理财子）","产品估值核算（理财子）","投资管理类服务项目","7679","已发布","已收敛","proposal_1","投资估值核算（理财子）-产品估值核算（理财子）-统一智能体","15.2%","14"
"agent_34","人格-资管智能问答","合肥分公司","合肥","投资","投资估值核算（资管）","大帐估值核算（资管）","投资管理类服务项目","7488","已发布","已收敛","proposal_8","投资估值核算（资管）-大帐估值核算（资管）-统一智能体","32.5%","2"
"agent_36","人格-底层资产的申赎确认时效","合肥分公司","合肥","投资","投资估值核算（理财子）","产品估值核算（理财子）","投资管理类服务项目","7239","已发布","已收敛","proposal_1","投资估值核算（理财子）-产品估值核算（理财子）-统一智能体","15.2%","14"
"agent_39","人格-养老险知识库","合肥分公司","合肥","投资","投资估值核算（养老险）","产品估值T+N（养老险）","投资管理类服务项目","6225","已发布","已收敛","proposal_10","投资估值核算（养老险）-产品估值T+N（养老险）-统一智能体","30.7%","3"
"agent_42","人格-非标资产信息检索","合肥分公司","合肥","投资","投资估值核算（理财子）","产品估值核算（理财子）","投资管理类服务项目","5841","已发布","已收敛","proposal_1","投资估值核算（理财子）-产品估值核算（理财子）-统一智能体","15.2%","14"
"agent_47","人格-到期日产品信息查询","合肥分公司","合肥","投资","投资估值核算（理财子）","产品估值核算（理财子）","投资管理类服务项目","4379","已发布","已收敛","proposal_1","投资估值核算（理财子）-产品估值核算（理财子）-统一智能体","15.2%","14"
"agent_55","人格-托管行信息汇总","合肥分公司","合肥","投资","投资估值核算（理财子）","产品估值核算（理财子）","投资管理类服务项目","3588","已发布","已收敛","proposal_1","投资估值核算（理财子）-产品估值核算（理财子）-统一智能体","15.2%","14"
"agent_82","人格-合肥估值养老险出题师","合肥分公司","合肥","投资","投资估值核算（养老险）","产品估值T+N（养老险）","投资管理类服务项目","1934","已发布","已收敛","proposal_10","投资估值核算（养老险）-产品估值T+N（养老险）-统一智能体","30.7%","3"
"agent_102","人格-开放日自动检索","合肥分公司","合肥","投资","投资估值核算（理财子）","产品估值核算（理财子）","投资管理类服务项目","1388","已发布","已收敛","proposal_1","投资估值核算（理财子）-产品估值核算（理财子）-统一智能体","15.2%","14"
"agent_157","人格-回购业务知识分享","合肥分公司","合肥","投资","投资估值核算（信托）","产品估值T+N（信托）","投资管理类服务项目","725","已发布","已收敛","proposal_5","投资估值核算（信托）-产品估值T+N（信托）-统一智能体","13.9%","6"
"agent_187","人格-债券业务知识解析","合肥分公司","合肥","投资","投资估值核算（理财子）","产品估值核算（理财子）","投资管理类服务项目","553","已发布","已收敛","proposal_1","投资估值核算（理财子）-产品估值核算（理财子）-统一智能体","15.2%","14"
"agent_213","人格-增值税问题咨询","合肥分公司","合肥","投资","投资估值核算（理财子）","产品估值核算（理财子）","投资管理类服务项目","414","已发布","已收敛","proposal_1","投资估值核算（理财子）-产品估值核算（理财子）-统一智能体","15.2%","14"
"agent_233","人格-家族信托对账通","合肥分公司","合肥","投资","投资估值核算（信托）","产品估值T+N（信托）","投资管理类服务项目","320","已发布","已收敛","proposal_5","投资估值核算（信托）-产品估值T+N（信托）-统一智能体","13.9%","6"
"agent_242","人格-非标一览通","合肥分公司","合肥","投资","投资估值核算（信托）","产品估值T+N（信托）","投资管理类服务项目","303","已发布","已收敛","proposal_5","投资估值核算（信托）-产品估值T+N（信托）-统一智能体","13.9%","6"
"agent_265","人格-理财训练营","合肥分公司","合肥","投资","投资估值核算（理财子）","产品估值核算（理财子）","投资管理类服务项目","263","已发布","已收敛","proposal_1","投资估值核算（理财子）-产品估值核算（理财子）-统一智能体","15.2%","14"
"agent_332","人格-信托数据智核","合肥分公司","合肥","投资","投资估值核算（信托）","产品估值T+N（信托）","投资管理类服务项目","124","已发布","已收敛","proposal_5","投资估值核算（信托）-产品估值T+N（信托）-统一智能体","13.9%","6"
"agent_18","理财季报核对","合肥分公司","合肥","投资","","","","18249","已发布","未收敛","","","",""
"agent_40","人格-债权计划智能问答","合肥分公司","合肥","投资","投资估值核算（资管）","债权计划核算（资管）","投资管理类服务项目","6213","已发布","未收敛","","","",""
"agent_75","估值-金融通","合肥分公司","合肥","投资","","","","2387","已发布","未收敛","","","",""
"agent_174","职业年金智能问答百宝箱","合肥分公司","合肥","投资","","","","607","已发布","未收敛","","","",""
"agent_296","产险供应商智能问答","合肥分公司","合肥","投资","","","","189","已发布","未收敛","","","",""
"agent_299","人格-理财产品成立日到期日信息查询","合肥分公司","合肥","投资","","","","185","已发布","未收敛","","","",""
"agent_300","人格-T0估值快诊助手","合肥分公司","合肥","投资","","","","183","已发布","未收敛","","","",""
"agent_490","人格-资管数据智能SOP","合肥分公司","合肥","投资","投资估值核算（资管）","产品估值核算（资管)","","39","已发布","未收敛","","","",""
"agent_847","理财智慧答疑","合肥分公司","合肥","投资","","","","8","未发布","未收敛","","","",""
"agent_868","养老估值问题处理指引","合肥分公司","合肥","投资","","","","7","未发布","未收敛","","","",""
"agent_973","人格-期货估值答疑","合肥分公司","合肥","投资","","","","4","已发布","未收敛","","","",""
"agent_982","合同解析及业务要素提取助手_理财子_导出节点_2025-03-17 16:01:18","合肥分公司","合肥","投资","","","","4","未发布","未收敛","","","",""
"agent_1072","人格-他行活期利率函_理财子_2025-03-28 16:01:18_导出节点_2025-03-28 11:14:51","合肥分公司","合肥","投资","","","","2","已发布","未收敛","","","",""
"agent_1151","人格-资管凭证智能生成","合肥分公司","合肥","投资","","","","1","已发布","未收敛","","","",""
"agent_1152","他行活期利率函_理财子_2025-03-28 16:01:18","合肥分公司","合肥","投资","","","","1","未发布","未收敛","","","",""
"agent_24","成都-财服-估值-合同要素提取","成都分公司","成都","投资","投资估值核算（信托）","产品估值T+N（信托）","投资管理类服务项目","13207","已发布","已收敛","proposal_5","投资估值核算（信托）-产品估值T+N（信托）-统一智能体","13.9%","6"
"agent_32","人格-金融估值陪练","成都分公司","成都","投资","投资估值核算（资管）","大帐估值核算（资管）","投资管理类服务项目","8097","已发布","已收敛","proposal_8","投资估值核算（资管）-大帐估值核算（资管）-统一智能体","32.5%","2"
"agent_173","人格-养老险知识库-成都","成都分公司","成都","投资","投资估值核算（养老险）","产品估值T+N（养老险）","投资管理类服务项目","617","已发布","已收敛","proposal_10","投资估值核算（养老险）-产品估值T+N（养老险）-统一智能体","30.7%","3"
"agent_225","人格-估值引擎","成都分公司","成都","投资","投资估值核算（理财子）","产品估值核算（理财子）","投资管理类服务项目","337","已发布","已收敛","proposal_1","投资估值核算（理财子）-产品估值核算（理财子）-统一智能体","15.2%","14"
"agent_507","人格-浮动管理费验证","成都分公司","成都","投资","投资估值核算（理财子）","产品估值核算（理财子）","投资管理类服务项目","36","已发布","已收敛","proposal_1","投资估值核算（理财子）-产品估值核算（理财子）-统一智能体","15.2%","14"
"agent_149","估值小书包（信托）","成都分公司","成都","投资","","","","763","已发布","未收敛","","","",""
"agent_406","人格-金融政策研读","成都分公司","成都","投资","","","","67","已发布","未收敛","","","",""
